name,barrio,descripcion,precio,codigo,opt1,opt2,opt3,opt4,opt5,opt6,opt7,opt8,opt9,opt10
Apartamento en venta,Los Lagartos - Bogotá,Zona tranquila Apto remodelado hace menos de un año iluminado con vista club de golf los lagartos sala comedor bastante amplia adicional zona de televisión tres habitaciones con closet amplios habitación principal con walking closet y baño privado baño social el piso en todo el apto es SPC PVC instalado hace menos de un año así como el piso de la cocina cocina remodelada blackout y cortinas marca pel zona de lavado con mueble organizador Tres once dos treinta y dos 23 4 3,$ 440.000.000,Código Fincaraíz: 6629620,{'Habitaciones': '3'},{'Baños': '2'},{'Habitaciones': '3'},{'Habitaciones': '3'},{'Área construída': '84 m²'},{'Área privada': '84 m²'},{'Estrato': '4'},{'Antigüedad': '9 a 15 años'},{'Administración': 'No definida'},"{'Precio m²': '$\xa05.238.095,24*m²'}"
Apartamento en venta,Chicó - Bogotá,"Encuentra, Arrienda o Vende con nosotros. Siempre más opciones en www.homesnbricks.com Visitanos!! Ofrece Amplio apartamento en venta ubicado en el barrio Chicó. Este inmueble cuenta con sala y comedor independientes, cocina independiente, zona de lavandería, habitación de servicio convertida en estudio. Zona privada con family room, habitación principal con baño privado, Cuatro habitaciones y tres baños Completos . Incluye Dos parqueaderos y depósito. El edificio consta de ascensor y sistema de seguridad 24 hrs. .",$ 932.000.000,Código Fincaraíz: 3909374,{'Habitaciones': '4'},{'Baños': '4'},{'Habitaciones': '4'},{'Habitaciones': '4'},{'Área construída': '192 m²'},{'Área privada': '192 m²'},{'Estrato': '6'},{'Antigüedad': 'más de 30 años'},{'Piso N°': '5'},{'Administración': '$\xa01.123.000 COP'}
Apartamento en venta,Cedritos - Bogotá,"Gran Oportunidad. Amplio apartamento 3 alcobas 2 baños, alcoba de servicio con baño cocina y patio de ropas, sala y comedor independientes con chimenea, sala de TV que puede usarse como oficina independiente del area privada. terraza 2 parqueaderos y deposito Excelente ubicación a una cuadra del centro comercial cabos, venta directa.",$ 415.000.000,Código Fincaraíz: 4678089,{'Habitaciones': '3'},{'Baños': '3'},{'Habitaciones': '3'},{'Habitaciones': '3'},{'Área construída': '110 m²'},{'Área privada': '100 m²'},{'Estrato': '4'},{'Estado': 'Bueno'},{'Antigüedad': '16 a 30 años'},{'Piso N°': '1'}
Apartamento en venta,Colina Campestre - Bogotá,"Conjunto Monet. excelente apartamento esquinero iluminado, doble altura, torre contra la montaña, vista exterior a las canchas y montaña. también interior cada habitación con su baño, gran estudio o 4 habitación, parqueadero doble salida, dos depósitos, cuarto y baño de servicio, cocina con isla, piscina, turco yacusi, cancha múltiple. parques niños arriendo con administración 4.400 millones. NO INTERMEDIARIOS. DIRECTO",$ 920.000.000,Código Fincaraíz: 6506155,{'Habitaciones': '4'},{'Baños': '5'},{'Habitaciones': '4'},{'Habitaciones': '4'},{'Área construída': '172 m²'},{'Área privada': '170 m²'},{'Estrato': '5'},{'Estado': 'Excelente'},{'Antigüedad': '1 a 8 años'},{'Piso N°': '5'}
Apartamento en venta,San Luis - Bogotá,"Espectacular apartamento, totalmente remodelado. Con vista privilegiada al Parque San Luis. Excelente oportunidad.",$ 330.000.000,Código Fincaraíz: 6378192,{'Habitaciones': '2'},{'Baños': '2'},{'Habitaciones': '2'},{'Habitaciones': '2'},{'Área construída': '57 m²'},{'Área privada': '57 m²'},{'Estrato': '4'},{'Estado': 'Excelente'},{'Antigüedad': '16 a 30 años'},{'Piso N°': '2'}
Apartamento en venta,Chicó Reservado - Bogotá,"Con 2 años de construido. Piso 6. Iluminado exc zonas comunes y acabados. 3 habitaciones y zona de estudio esta adaptada para 3 alcoba con su baño. 2 baños mas social. Cocina semi abierta con barra y lava vajillas. zona de ropas independiente. Edificio con teatrino, salón de juegos, salón de niños, gimnasio prof, salón de pilates, 2 salas de juntas dotadas, cuarto de escoltas caldera. Cerca al museo el chico y calle 93. 2 parqueaderos independientes y deposito. Vlr adm 560.000.",$ 1.590.000.000,Código Fincaraíz: 5492088,{'Habitaciones': '3'},{'Baños': '3'},{'Habitaciones': '3'},{'Habitaciones': '3'},{'Área construída': '146 m²'},{'Área privada': '142 m²'},{'Estrato': '6'},{'Estado': 'Excelente'},{'Antigüedad': '1 a 8 años'},{'Piso N°': '6'}
Apartamento en venta,Nueva Marsella - Bogotá,Apartamento ubicado en excelente sector a una cuadra de mundo aventura cerca a la av Americas av Boyaca 1 de mayo y av 68 centro comercial plaza de las americas Tres alcobas baño principal baño social zona de lavandería hall sala comedor balcón cocina integral con salpicadero alto en mármol y barra ascensor y terraza comunal,$ 340.000.000,Código Fincaraíz: 6534707,{'Habitaciones': '3'},{'Baños': '2'},{'Habitaciones': '3'},{'Habitaciones': '3'},{'Área construída': '85 m²'},{'Área privada': '0 m²'},{'Estrato': '3'},{'Administración': 'No definida'},{'Precio m²': '$\xa04.000.000*m²'},None
Apartamento en venta,Colina Campestre - Bogotá,Apartamento acogedor e iluminado Sala con Chimenea comedor amplio con salida al balcón 3 alcobas la principal con baño y vestier baño de alcobas y baño social estudio cocina lavandería con buena ventilación Pisos laminados Conjunto cuenta con salón social gimnasio salón de juegos infantil y parque para niños Portería 24 horas Deposito en el mismo piso 2 garajes cubiertos Negociable,$ 490.000.000,Código Fincaraíz: 6365292,{'Habitaciones': '3'},{'Baños': '3'},{'Habitaciones': '3'},{'Habitaciones': '3'},{'Área construída': '116 m²'},{'Área privada': '116 m²'},{'Estrato': '5'},{'Administración': 'No definida'},"{'Precio m²': '$\xa04.224.137,93*m²'}",None
Apartamento en venta,Villas Del Mediterráneo - Bogotá,"excelente estado, 2 parqueadero independientes zonas verdes al interior del conjunto, piso de madera en sala comedor y el corredor y laminado en alcobas excelente ubicacion",$ 340.000.000,Código Fincaraíz: 6544443,{'Habitaciones': '3'},{'Baños': '2'},{'Habitaciones': '3'},{'Habitaciones': '3'},{'Área construída': '95 m²'},{'Área privada': '88 m²'},{'Estrato': '4'},{'Estado': 'Excelente'},{'Antigüedad': '16 a 30 años'},{'Piso N°': '1'}
Apartamento en venta,Lagos de Cordoba - Bogotá,APARTAMENTO EN VENTA Bogotá Lagos de Córdoba 97 m2 Piso 11 Amplio y lindo apartamento con vista exterior muy buena iluminación natural y excelente distribución Cuenta con tres alcobas tres baños estudio sala comedor balcón cocina integral estufa y calentador a gas dos parqueaderos independientes puerta de seguridad cortinas El conjunto ofrece diferentes zonas de juegos al aire libre e interiores salón infantil salones comunales gimnasio excelentemente dotado,$ 560.000.000,Código Fincaraíz: 6312868,{'Habitaciones': '3'},{'Baños': '3'},{'Habitaciones': '3'},{'Habitaciones': '3'},{'Área construída': '97 m²'},"{'Área privada': '90,25 m²'}",{'Estrato': '5'},{'Estado': 'Excelente'},{'Antigüedad': '9 a 15 años'},{'Piso N°': '11'}
